City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Pisco,PE,-13.7,-76.2167,75.2,64,0,20.71,clear sky
80,Norsup,VU,-16.0667,167.3833,80.19,82,92,9.17,overcast clouds
81,Riyadh,SA,24.6877,46.7219,87.8,16,40,8.05,light rain
82,Lorengau,PG,-2.0226,147.2712,77.07,86,100,4.07,overcast clouds
83,Saurimo,AO,-9.6608,20.3916,62.65,96,88,4.03,overcast clouds
84,Bethel,US,41.3712,-73.414,48.99,88,100,3.0,light rain
85,Colesberg,ZA,-30.72,25.0972,73.44,24,94,5.48,overcast clouds
86,Sol-Iletsk,RU,51.1631,54.9918,47.12,66,11,7.11,few clouds
87,Guerrero Negro,MX,27.9769,-114.0611,66.54,55,0,16.4,clear sky
88,Mount Gambier,AU,-37.8333,140.7667,53.6,66,100,14.97,overcast clouds
89,Mikkeli,FI,61.6886,27.2723,50.0,46,0,3.44,clear sky
90,Banjar,ID,-8.19,114.9675,75.79,87,2,5.41,clear sky
91,Hay River,CA,60.8156,-115.7999,26.6,36,20,18.41,few clouds
92,Odweyne,SO,9.4092,45.064,75.97,29,46,8.37,scattered clouds
93,Eureka,US,40.8021,-124.1637,63.0,69,1,7.0,clear sky
94,Olinda,BR,-8.0089,-34.8553,80.6,69,75,10.36,broken clouds
95,Miguel Alves,BR,-4.1656,-42.8953,81.45,81,97,2.68,overcast clouds
96,Mahon,ES,39.8885,4.2658,50.0,81,20,5.75,few clouds
97,Broome,US,42.2506,-75.833,46.99,93,90,3.44,light rain
98,San Policarpo,PH,12.1791,125.5072,79.72,81,66,10.04,broken clouds
99,Norman Wells,CA,65.282,-126.8329,15.8,53,90,12.66,overcast clouds
100,Bluff,NZ,-46.6,168.3333,50.0,95,100,1.01,light rain
101,Rio Bueno,CL,-40.3167,-72.9667,69.8,60,75,9.22,broken clouds
102,Morant Bay,JM,17.8815,-76.4093,84.99,70,75,16.11,broken clouds
103,Tadine,NC,-21.55,167.8833,76.57,89,99,8.16,overcast clouds
104,Nyrob,RU,60.733,56.7202,25.47,97,17,2.44,few clouds
105,Mar Del Plata,AR,-38.0023,-57.5575,75.2,46,0,16.11,clear sky
106,Khatanga,RU,71.9667,102.5,24.67,93,100,7.45,overcast clouds
107,Wanning,CN,18.8003,110.3967,74.37,90,27,2.46,scattered clouds
108,Neepawa,CA,50.2289,-99.4664,24.8,86,90,17.27,light snow
109,Okha,RU,53.5739,142.9478,19.44,89,100,9.35,light snow
110,Daru,PG,-9.0763,143.2092,75.9,85,97,5.03,overcast clouds
111,Ratanpur,IN,22.3,82.1667,78.6,17,3,6.87,clear sky
112,Aldine,US,29.9324,-95.3802,88.0,45,75,8.05,broken clouds
113,Coihaique,CL,-45.5752,-72.0662,62.6,51,20,9.22,few clouds
114,Victoria,HK,22.2855,114.1577,73.99,88,52,4.56,broken clouds
115,Porbandar,IN,21.6422,69.6093,80.2,61,0,10.18,clear sky
116,Saskylakh,RU,71.9167,114.0833,12.42,95,99,9.66,overcast clouds
117,Rawson,AR,-43.3002,-65.1023,77.2,35,1,21.5,clear sky
118,Sovetskiy,RU,61.3614,63.5842,34.32,89,39,6.73,scattered clouds
119,Sena Madureira,BR,-9.0656,-68.6569,86.0,63,62,3.33,broken clouds
120,Faanui,PF,-16.4833,-151.75,82.4,72,100,13.8,overcast clouds
121,Patos,BR,-7.0244,-37.28,86.32,48,100,6.44,overcast clouds
122,Inirida,CO,3.8653,-67.9239,82.67,77,92,2.57,overcast clouds
123,Kalmunai,LK,7.4167,81.8167,78.94,81,74,3.94,broken clouds
124,Belaya Gora,RU,68.5333,146.4167,-5.69,92,100,6.62,overcast clouds
125,Umba,RU,66.6871,34.3429,32.04,99,100,5.73,light snow
126,Suhbaatar,MN,50.2314,106.2078,28.94,54,52,1.97,broken clouds
127,Sabla,NG,12.7525,4.7077,94.14,16,16,7.56,few clouds
128,Yellowknife,CA,62.456,-114.3525,16.0,85,20,19.57,few clouds
129,San Juan Bautista,PE,-14.0108,-75.7358,75.2,64,0,20.71,clear sky
130,Serula,IN,15.5333,73.8333,80.55,87,25,4.79,scattered clouds
131,Kjopsvik,NO,68.097,16.3742,35.01,69,90,6.02,overcast clouds
132,Nouadhibou,MR,20.931,-17.0347,73.4,56,22,20.71,sand
133,Bartica,GY,6.4,-58.6167,87.8,66,75,11.5,broken clouds
134,Garissa,KE,-0.4536,39.6401,82.74,65,78,11.81,light rain
135,Lodja,CD,-3.4833,23.4333,69.73,94,87,2.59,overcast clouds
136,Port Macquarie,AU,-31.4333,152.9167,48.99,75,13,3.0,few clouds
137,Lompoc,US,34.6391,-120.4579,55.0,76,7,9.22,clear sky
138,Luena,AO,-11.7833,19.9167,63.54,84,98,4.23,light rain
139,Provideniya,RU,64.3833,-173.3,16.61,90,100,16.75,overcast clouds
140,Kargasok,RU,59.0556,80.8572,30.83,92,14,8.01,few clouds
141,Karlshamn,SE,56.1706,14.8619,37.99,65,60,2.3,broken clouds
142,Pychas,RU,56.5033,52.4409,38.5,96,100,4.85,overcast clouds
143,Upernavik,GL,72.7868,-56.1549,31.01,96,100,7.81,light snow
144,Aklavik,CA,68.2191,-135.0107,15.8,41,100,4.61,overcast clouds
145,Mikumi,TZ,-7.4041,36.9831,69.15,97,100,2.98,light rain
146,Cockburn Town,TC,21.4612,-71.1419,76.87,73,26,8.81,scattered clouds
147,Ipojuca,BR,-8.3989,-35.0639,80.6,69,75,10.36,broken clouds
148,Coro,VE,11.4045,-69.6734,85.95,68,100,21.97,overcast clouds
149,Provost,CA,52.3501,-110.2683,41.0,38,47,14.97,scattered clouds
150,Salinas,US,36.6777,-121.6555,60.8,59,1,5.75,clear sky
151,Northam,GB,51.0333,-4.2167,45.0,86,14,1.99,few clouds
152,San Borja,BO,-14.8167,-66.85,64.53,97,100,5.12,overcast clouds
153,Chokurdakh,RU,70.6333,147.9167,-0.89,87,100,10.94,overcast clouds
154,Husavik,IS,66.0449,-17.3389,44.6,57,0,6.91,clear sky
155,Mujiayingzi,CN,42.1167,118.7833,28.87,37,0,10.76,clear sky
156,Byron Bay,AU,-28.65,153.6167,53.6,82,40,6.91,scattered clouds
157,Horodnya,UA,51.8909,31.5974,49.44,87,100,4.25,overcast clouds
158,Vanavara,RU,60.34,102.2797,28.9,96,100,8.99,light snow
159,Lata,PT,40.1629,-8.3327,61.0,88,40,4.61,scattered clouds
160,Payo,ID,-3.7508,103.6372,72.1,96,100,1.88,light rain
161,Saint-Joseph,RE,-21.3667,55.6167,78.8,78,0,6.91,moderate rain
162,Sheridan,US,44.8333,-106.9173,39.99,52,75,23.02,broken clouds
163,Kodiak,US,57.79,-152.4072,42.8,70,20,9.22,few clouds
164,Clyde River,CA,70.4692,-68.5914,21.2,100,90,18.41,light snow
165,Meulaboh,ID,4.1363,96.1285,77.14,86,96,4.59,overcast clouds
166,Xining,CN,36.6167,101.7667,38.88,74,64,1.25,broken clouds
167,Uchiza,PE,-8.4592,-76.4633,77.23,80,97,2.04,overcast clouds
168,Tilichiki,RU,60.4667,166.1,-3.26,87,94,8.08,overcast clouds
169,Namatanai,PG,-3.6667,152.4333,74.66,86,100,11.74,moderate rain
170,Glenwood Springs,US,39.5505,-107.3248,60.01,32,0,12.66,clear sky
171,Rolla,US,37.9514,-91.7713,64.99,36,40,10.36,scattered clouds
172,Linqiong,CN,30.4159,103.4609,64.0,100,75,2.37,mist
173,Kitgum,UG,3.2783,32.8867,69.58,76,100,3.22,overcast clouds
174,Nishihara,JP,26.1842,127.7558,71.6,94,75,8.05,broken clouds
175,Nizhniy Baskunchak,RU,48.2198,46.8311,56.91,38,87,10.76,overcast clouds
176,Katsuura,JP,35.1333,140.3,57.99,77,75,4.61,broken clouds
177,Sitka,US,57.0531,-135.33,37.4,93,75,8.05,light rain
178,Revda,RU,56.801,59.9303,32.0,86,0,1.23,clear sky
179,Caconda,AO,-13.7333,15.0667,66.16,58,100,3.8,overcast clouds
180,Qaanaaq,GL,77.484,-69.3632,3.54,85,16,2.95,few clouds
181,Tarakan,ID,3.3,117.6333,78.53,81,68,4.18,broken clouds
182,Atbasar,KZ,51.8,68.3333,32.59,85,57,7.7,broken clouds
183,Broken Hill,AU,-31.95,141.4333,55.4,41,100,9.22,overcast clouds
184,Beringovskiy,RU,63.05,179.3167,9.0,90,100,23.78,light snow
185,Umm Kaddadah,SD,13.6017,26.6876,74.71,6,100,13.0,overcast clouds
186,San Rafael Del Sur,NI,11.8485,-86.4384,95.0,46,40,4.61,scattered clouds
187,Palmer,US,42.1584,-72.3287,51.8,71,90,10.36,overcast clouds
188,Port Alfred,ZA,-33.5906,26.891,71.04,95,84,9.24,broken clouds
189,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,71,75,8.05,broken clouds
