City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
96,Mahon,ES,50.0,few clouds,39.8885,4.2658,ARTIEM Capri
98,San Policarpo,PH,79.72,broken clouds,12.1791,125.5072,JM Lodge
100,Bluff,NZ,50.0,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
101,Rio Bueno,CL,69.8,broken clouds,-40.3167,-72.9667,Hostal Caulle
102,Morant Bay,JM,84.99,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
103,Tadine,NC,76.57,overcast clouds,-21.55,167.8833,
105,Mar Del Plata,AR,75.2,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
107,Wanning,CN,74.37,scattered clouds,18.8003,110.3967,Paradise Hotel
110,Daru,PG,75.9,overcast clouds,-9.0763,143.2092,Daru Lodge
111,Ratanpur,IN,78.6,clear sky,22.3,82.1667,Mahamaya lodge & Mangal Bhawan
112,Aldine,US,88.0,broken clouds,29.9324,-95.3802,Homewood Suites By Hilton Houston IAH Airport Beltway 8
113,Coihaique,CL,62.6,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
114,Victoria,HK,73.99,broken clouds,22.2855,114.1577,Mini Hotel Central
115,Porbandar,IN,80.2,clear sky,21.6422,69.6093,Lords Inn Porbandar
117,Rawson,AR,77.2,clear sky,-43.3002,-65.1023,Hosteria Sampedro
119,Sena Madureira,BR,86.0,broken clouds,-9.0656,-68.6569,Hotel Central
120,Faanui,PF,82.4,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
121,Patos,BR,86.32,overcast clouds,-7.0244,-37.28,Hotel JK
122,Inirida,CO,82.67,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
123,Kalmunai,LK,78.94,broken clouds,7.4167,81.8167,VS Villa
129,San Juan Bautista,PE,75.2,clear sky,-14.0108,-75.7358,Hotel Las Dunas
130,Serula,IN,80.55,scattered clouds,15.5333,73.8333,Hotel Park Plaza
132,Nouadhibou,MR,73.4,sand,20.930999999999997,-17.0347,El Medina
133,Bartica,GY,87.8,broken clouds,6.4,-58.6167,Relax Inn Hotel
134,Garissa,KE,82.74,light rain,-0.4536,39.6401,Sharif Plaza Hotel
135,Lodja,CD,69.73,overcast clouds,-3.4833,23.4333,
137,Lompoc,US,55.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
138,Luena,AO,63.54,light rain,-11.7833,19.9167,Hotel Kandamba
145,Mikumi,TZ,69.15,light rain,-7.4041,36.9831,Morio Motel and Campsite
146,Cockburn Town,TC,76.87,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
147,Ipojuca,BR,80.6,broken clouds,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
148,Coro,VE,85.95,overcast clouds,11.4045,-69.6734,Federal
150,Salinas,US,60.8,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
152,San Borja,BO,64.53,overcast clouds,-14.8167,-66.85,
156,Byron Bay,AU,53.6,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
159,Lata,PT,61.0,scattered clouds,40.1629,-8.3327,Casa Maquia
160,Payo,ID,72.1,light rain,-3.7508,103.6372,Mess keban agung
161,Saint-Joseph,RE,78.8,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
165,Meulaboh,ID,77.14,overcast clouds,4.1363,96.1285,Kost Pria
167,Uchiza,PE,77.23,overcast clouds,-8.4592,-76.4633,Hotel San Pedro
169,Namatanai,PG,74.66,moderate rain,-3.6667,152.4333,Namatanai Hotel
170,Glenwood Springs,US,60.01,clear sky,39.5505,-107.3248,Glenwood Springs Cedar Lodge
171,Rolla,US,64.99,scattered clouds,37.9514,-91.7713,Holiday Inn Express & Suites Rolla - Univ of Missouri S&T
172,Linqiong,CN,64.0,mist,30.4159,103.4609,Tianlun Tanxianglou Hotel
173,Kitgum,UG,69.58,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
174,Nishihara,JP,71.6,broken clouds,26.1842,127.7558,Minshuku Agaihama
175,Nizhniy Baskunchak,RU,56.91,overcast clouds,48.2198,46.8311,Arman hotel
176,Katsuura,JP,57.99,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
179,Caconda,AO,66.16,overcast clouds,-13.7333,15.0667,
181,Tarakan,ID,78.53,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
183,Broken Hill,AU,55.4,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
185,Umm Kaddadah,SD,74.71,overcast clouds,13.6017,26.6876,
187,Palmer,US,51.8,overcast clouds,42.1584,-72.3287,Wedgewood Motel
